(113.83511830833238,8.148420436341409)
(107.83509571296452,9.64842608518337)
(102.90904140206699,10.879939662907756)
(98.77157379669936,11.91430656424966)
(107.43175156731128,11.375607718325744)
(90.82967130717654,13.899782186630365)
(86.35753535217697,15.017816175380258)
(107.15327603690034,12.390359178324175)
(115.97588181117855,11.75961352741345)
(91.6110454560161,15.330784246149538)
(119.38761729028286,12.023260596776485)
(95.83956753791557,15.218786303070367)
(107.78877150084156,13.806391104997697)
(105.93635213550438,14.269495946331993)
(82.30390966665082,18.602700770886553)
(102.91063534978105,15.077364946833058)
(106.79041215753422,14.788633764228123)
(70.69683089853103,22.569611597985382)
(95.74426306326195,16.8175182143926)
(81.92107886869799,19.763549605443636)
(93.41448455882262,17.45140264457266)
(90.64915630182689,18.142734708821592)
(86.68074114699681,19.08339869345889)
(79.31707919950057,20.924314180332946)
(107.28746683012702,15.558062869405394)
(109.7109514939748,15.387559623249196)
(90.72449822542488,18.805112247255458)
(64.00180779656533,26.79968759248785)
(84.39994290508812,20.386251077339647)
(100.05000261813171,17.367428922404223)
(103.33647813642123,16.966020007523873)
(101.26521261133722,17.483836388794877)
(99.32333271718224,17.96930636233362)
(80.82075329069144,22.17474125426428)
(74.79849907190166,24.100514773653764)
(94.5080284163072,19.173132437552383)
(64.26285249832085,28.32449016482151)
(80.42899166032672,22.692891626547503)
(82.00960162282963,22.297739135921773)
(84.17032767673145,21.757557622446313)
(76.5980751546278,23.963063611683783)
(91.84054072389638,20.15244721936664)
(88.76690577833604,20.920855955756732)
(68.24444848368462,27.365373017437086)
(85.08601257927407,22.05355900951433)
(66.45419021141174,28.50930855995238)
(72.71658443868418,26.247339028687193)
(67.42259406855791,28.51596919861446)
(75.44237020407891,25.581050542452225)
(84.44892316761877,22.945484185831745)
(88.10079865520572,22.032515313935004)
(97.57113858174158,19.997418643966327)
(96.98302943261695,20.195885735317724)
(83.97238184272638,23.397107828720124)
(83.94083240885115,23.44127703614545)
(84.93852099503732,23.207012844712622)
(55.33176141885536,35.68506132782368)
(100.71345369085434,19.72160452427809)
(74.63369661948589,26.713193560882463)
(61.069025404277234,32.795848096482565)
(96.53975581732134,20.816468796731577)
(80.69428636020399,24.949284522754315)
(85.76942620305232,23.509051200298824)
(97.30357917702908,20.796961318548043)
(76.78124621038515,26.43730921779898)
(80.95825193982263,25.132054730798274)
(71.69838250479759,28.440677967599456)
(84.1298474104443,24.33915586314286)
(72.5227686423245,28.30606669024169)
(92.2719604388074,22.303627606052085)
(99.53298539448329,20.74937442177444)
(75.16814903932084,27.573236333968644)
(95.94739667007492,21.645771602876536)
(93.78667061617313,22.185953116351985)
(73.43579749445942,28.390252335919513)
(76.90544406850628,27.210397833696245)
(100.08568208965232,20.995128363717708)
(67.24461515313958,31.392945156235125)
(64.27349723892321,32.92470476010306)
(75.53608073101847,28.077661280771864)
(103.00262760099905,20.68610195057305)
(85.207678714995,25.063353915050104)
(65.8277455403588,32.53614268474416)
(86.66490426605543,24.77053278430895)
(85.6741217283987,25.107783111621057)
(80.0213975165517,26.94117412927484)
(67.1019243636694,32.217597978916515)
(54.99791088343317,39.40514327087287)
(69.68927370524678,31.150550678830133)
(82.7156338480712,26.319054850465193)
(73.56745219775479,29.671241398113175)
(48.74869748669438,44.90135083284905)
(73.56917047347635,29.811806326150936)
(48.38329751739696,45.412910789865435)
(61.06902540427724,36.04853928994069)
(59.605013765163726,36.97574666137925)
(92.47509404562037,23.879189801077903)
(62.447559495129724,35.481017601413924)
(59.19328958374335,37.552160515367774)
(74.12186716864535,30.0575602680942)
(96.8445930087996,23.04781811492443)
(83.39745352413541,26.829812950782507)
(71.21291034749329,31.502294341672094)
(45.47699674665258,49.481731868907566)
(94.00524975835496,23.97013368152769)
(44.733015977524076,50.52330494568747)
(44.334472626637364,51.08126563692887)
(90.69801660388119,25.00467218084606)
(93.43698319980957,24.319930531863964)
(37.52191342659611,60.61884851698665)
(42.54167826443319,53.59117774401473)
(57.77907602137025,39.53205950269011)
(74.80368684470957,30.56831836841151)
(87.98965729961074,26.065690122649187)
(68.79620740416749,33.42037281552105)
(64.63889720822063,35.66583599654479)
(75.25507347820731,30.704233312985696)
(77.0835473119321,30.034635100562394)
(85.02638757614108,27.279990362150045)
(81.02973084334023,28.67931905708855)
(68.77211481546648,33.89987877132973)
(62.271174527425465,37.515342102850845)
(79.9171622094862,29.289949527217356)
(68.5004253731086,34.28024399063076)
(56.04419275410863,41.96089607685637)
(48.30542387139877,48.77462508772102)
(76.45164567308471,30.888981484721313)
(86.34435452164331,27.422148394536748)
(73.65597495188644,32.20543092859131)
(57.02020051351764,41.71689413700412)
(76.71561125270337,31.07175169276527)
(63.594213652790316,37.55335248213143)
(58.64819242330605,40.800131501967066)
(67.67857095798192,35.430840171808136)
(67.11030439943653,35.780637022144404)
(76.48958984944053,31.46074535524627)
(55.95980003762236,43.09857519511705)
(77.40249874109908,31.232518132331627)
(80.78374688902178,29.966996130658927)
(78.13329867969392,31.04981814768292)
(85.79844391452734,28.32939375854702)
(62.113708959707544,39.201099544463105)
(55.24058698184712,44.20835308134284)
(77.86160923733604,31.430183366983954)
(69.92555069364904,35.09198340370499)
(80.86707750281441,30.402655290859315)
(76.675948800626,32.1468084408535)
(92.29711513020204,26.75616575869858)
(61.84614955499504,40.00064221904482)
(83.02780355671622,29.86247377738386)
(64.48727995386962,38.53622153889863)
(69.82092840854216,35.68423093448191)
(71.79049471649196,34.78678734791614)
(76.18794492092148,32.83001387243981)
(68.6967728918685,36.490192426353985)
(56.636551901355034,44.38428446416953)
(74.95277237666036,33.612289817138524)
(57.966372747241856,43.542064595107874)
(51.98884879286095,48.65790693778302)
(66.58584491470711,38.08306555571321)
(77.17300347321877,32.91623754603077)
(58.73671517743769,43.3343210324452)
(96.71040221557291,26.38549681075945)
(66.086254152183,38.679613015106504)
(67.91231622398396,37.731402275440274)
(65.85929497423403,38.997355864235075)
(54.856938369684514,46.87574340850826)
(87.5357389437128,29.43186090508179)
(63.731712301921505,40.51066595866541)
(92.46031926737265,27.99298561346691)
(48.67241778841026,53.300910344014)
(55.74348560027573,46.65410660086045)
(86.11645756900819,30.296445906347902)
(87.09246532841719,30.052443966495645)
(76.2169626323965,34.39766523722987)
(78.30620978278073,33.562910590922264)
(69.56760756952585,37.89882935366871)
(90.58859352400775,29.178411917598005)
(85.72310199092937,30.919707413571274)
(71.19879174227349,37.32999336055992)
(85.1811970934513,31.262913848640707)
(50.61429768256523,52.81544037047526)
(76.58743041402546,35.001419266269714)
(80.64955609579509,33.30467482649394)
(66.21537713307816,40.73200272013149)
(59.5190271009634,45.46145962273991)
(71.24711583177623,38.17532326255319)
(63.66701948645699,42.83439777859397)
(71.24858981901392,38.38268497644369)
(62.222194264894796,44.08929685730999)
(67.00594913189462,41.069690744952574)
(61.84361346506372,44.6193099770735)
(72.21699367616009,38.389345615105775)
(57.322501615064596,48.56691121322565)
(58.652322460951424,47.72469134416399)
(67.40688151562404,41.691702060602275)
(71.87223138257055,39.3177891577584)
(78.6429833861756,36.11387661996123)
(77.12667926109583,37.07420256584509)
(61.157668118885255,47.18790962257845)
(67.82632955978363,42.96442404334282)
(71.15246753015053,41.487958380374245)
(76.25997462108386,39.337434287269176)
(66.95962491977166,45.2276557647669)
(71.20226560689095,42.54064999625802)
(71.10761730526526,42.600593920620966)
(71.06807481366425,42.62563749863492)
(67.6405024536186,44.796433326663845)
(67.64050245361861,44.796433326663845)
(67.77469324684529,44.71144582428694)
(67.7746932468453,44.71144582428694)
(70.55332229485106,42.95164742721662)
(70.55332229485107,42.95164742721662)
(68.22194984269765,44.42818331358044)
(69.87244476100412,43.38286986531968)
(69.83290226940314,43.40791344333364)
(69.73825396777742,43.46785736769658)
(68.64205405988518,44.16211730936168)
(69.68596148181118,43.50097594214188)
(69.55177068858448,43.58596344451878)
(68.87089315473754,44.01718588262184)
